user_id,course_id,rating,timestamp
u000001,c008603,1.0,2024-12-23 15:04:09.447037
u000001,c009145,1.0,2025-03-22 04:59:04.419180
u000001,c009045,1.0,2025-04-20 06:10:28.864456
u000001,c009199,1.0,2025-10-11 03:15:18.615311
u000002,c008596,1.0,2024-11-09 13:17:14.465849
u000002,c009337,1.0,2024-12-27 21:01:32.250084
u000002,c008462,1.0,2025-01-18 19:59:23.000236
u000002,c007276,1.0,2025-02-20 02:32:53.012525
u000002,c009383,1.0,2025-02-28 21:07:32.329605
u000002,c009298,1.0,2025-03-28 07:06:16.088077
u000002,c007221,1.0,2025-07-07 12:53:14.540467
u000002,c009647,1.0,2025-07-13 23:27:16.140336
u000002,c009157,1.0,2025-07-20 11:06:58.183724
u000002,c009479,1.0,2025-08-21 02:15:05.095888
u000002,c008489,1.0,2025-08-27 14:31:46.705000
u000002,c008886,1.0,2025-09-06 15:23:23.023780
u000002,c009213,1.0,2025-09-06 19:03:17.517861
u000003,c008921,1.0,2024-11-15 03:45:05.865330
u000003,c000515,1.0,2024-12-09 17:36:47.264402
u000003,c009185,1.0,2025-01-04 17:32:04.750585
u000003,c008710,1.0,2025-01-06 19:28:35.929190
u000003,c009413,1.0,2025-04-04 04:44:33.989355
u000003,c007518,1.0,2025-04-24 10:50:18.260189
u000003,c009293,1.0,2025-05-08 17:56:45.954641
u000003,c008631,1.0,2025-07-07 08:10:49.734745
u000003,c009466,1.0,2025-07-28 12:39:42.407391
u000003,c009052,1.0,2025-08-19 23:44:31.849361
u000003,c002856,1.0,2025-08-30 23:36:44.777809
u000004,c009163,1.0,2024-11-15 04:33:20.803774
u000004,c009042,1.0,2024-11-22 01:20:02.513890
u000004,c009334,1.0,2024-12-14 14:36:13.917079
u000004,c008643,1.0,2024-12-29 14:49:32.747061
u000004,c009186,1.0,2025-01-08 03:11:17.782760
u000004,c009304,1.0,2025-03-07 06:22:41.119108
u000004,c008971,1.0,2025-03-13 11:22:24.082792
u000004,c008882,1.0,2025-05-01 21:46:19.114412
u000004,c009144,1.0,2025-05-06 04:09:12.402676
u000004,c008858,1.0,2025-06-06 22:53:22.028573
u000004,c009272,1.0,2025-06-09 08:33:37.155177
u000004,c008691,1.0,2025-06-10 13:12:48.866339
u000004,c009592,1.0,2025-08-19 13:33:16.053546
